item_id,source_label,assignment,section,item_label,order,page_start,page_end,summary,extraction_state,structural_family_candidate,match_status,matched_2024_locator,evidence_locator
asgnbundle-4-13,assignment-2025-26-bundle-4,4,B,13,13,13,13,Consider the following measurements of the heat produced by two mines: Mine 1 8260 8130 8350 8070 8340 8400 Mine 2 7950 7890 7900 8140 7920 7840 State the null and alternative hypothesis.,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L745; PDF p13
asgnbundle-4-14,assignment-2025-26-bundle-4,4,B,14,14,13,13,"A manufacturer claims that its rechargeable batteries have an average life greater than 1,000 charges. A random sample of 10 batteries has a mean life of 1002 charges and a standard deviation of 14. ...",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L756; PDF p13
asgnbundle-4-15,assignment-2025-26-bundle-4,4,B,15,15,13,13,"Certain pesticide is packed into bags by a machine. A random sample of 10 bags is drawn and their contents are found to weight in kgs as follows: 50, 49, 44, 52, 45, 48, 46, 45, 49, 45. State the ...",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L763; PDF p13
asgnbundle-4-16,assignment-2025-26-bundle-4,4,C,16,16,13,13,"Ten individuals are chosen at random from a population and their heights are found to be in inches 63, 63, 64, 65, 66, 69, 69, 70, 70, 71. Discuss the suggestion that the mean height of universe is ...",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L771; PDF p13
asgnbundle-4-17,assignment-2025-26-bundle-4,4,C,17,17,13,13,"A fertiliser mixing machine is set to give 12 kgs of nitrate for quintal bag of fertilizer. Ten 100 kg bags are examined the percentage of nitrate per bag are as follows: 11, 14, 13, 12, 13, 12, 13, ...",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L776; PDF p13
asgnbundle-4-18,assignment-2025-26-bundle-4,4,C,18,18,13,13,A random sample of size 16 values from a normal population showed a mean of 53 and a sum of squares of deviation from the mean equals to 150. Can this sample be regarded as taken from the population ...,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L781; PDF p13
asgnbundle-4-19,assignment-2025-26-bundle-4,4,C,19,19,13,14,"A random sample of six steel beams has mean compressive strength of 58.392 pounds per square inch (psi) with a standard deviation of s = 648 psi. Test the null hypothesis H0 : µ = 58,000 psi against ...",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L788; PDF p13-14
asgnbundle-4-20,assignment-2025-26-bundle-4,4,D,20,20,14,14,"A website manager believes the average load time for their new webpage is 3 seconds. To verify this, they collect data on 25 random visits. The sample mean load time is 3.4 seconds with a standard ...",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L800; PDF p14
asgnbundle-4-21,assignment-2025-26-bundle-4,4,D,21,21,14,14,"A company manufactures small engine parts. For a new model, the engineers aim for a part weight of 25.0 grams. However, due to slight fluctuations in raw materials, they know the weight has some ...",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L805; PDF p14
asgnbundle-5-A01,assignment-2025-26-bundle-5,5,A,A1,1,15,15,"In a paired t-test, the basic data analyzed is the set of __________ between paired observations.",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L841; PDF p15
asgnbundle-5-A02,assignment-2025-26-bundle-5,5,A,A2,2,15,15,The test of independence of attributes is based on the __________ test.,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L843; PDF p15
asgnbundle-5-A03,assignment-2025-26-bundle-5,5,A,A3,3,15,15,What is the null hypothesis in a paired samples t-test?,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L844; PDF p15
asgnbundle-5-A04,assignment-2025-26-bundle-5,5,A,A4,4,15,15,The alternative hypothesis in a paired samples t-test states that the mean difference between paired observations is ……….,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L845; PDF p15 (printed label 45 read as A4)
asgnbundle-5-A05,assignment-2025-26-bundle-5,5,A,A5,5,15,15,"To test independence of attributes, the observed data are arranged in a .............. table.",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L847; PDF p15
asgnbundle-5-A06,assignment-2025-26-bundle-5,5,A,A6,6,15,15,The F-test is mainly used to test the equality of __________.,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L848; PDF p15
asgnbundle-5-B01,assignment-2025-26-bundle-5,5,B,B1,7,15,15,The nicotine content in milligrams of the samples of tobacco were found as follows: Sample A: 24 27 26 21 25 Sample B: 27 30 28 31 22 36 Can it be said that two samples come from normal populations ...,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L851; PDF p15
asgnbundle-5-B02,assignment-2025-26-bundle-5,5,B,B2,8,15,15,A travel agency’s marketing brochure indicates that the standard deviations of hotel rates for two cities are the same. A random sample of 13 rooms rates in a city has a standard deviation of $ 27.50 ...,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L858; PDF p15
asgnbundle-5-B03,assignment-2025-26-bundle-5,5,B,B3,9,15,15,"In a certain sample of 2,000 families, 1,400 people are consumers of tea. Out of 1,800 Hindu families, 1,236 families are consumers of tea. State whether there is any significant difference between ...",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L863; PDF p15
asgnbundle-5-B04,assignment-2025-26-bundle-5,5,B,B4,10,15,15,"A certain oil corporation a seismic test on land assess the possibilities of extraction of oil from the land. From the past 200 records, the following test results and oil yields were obtained Test ...",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L866; PDF p15
asgnbundle-5-C01,assignment-2025-26-bundle-5,5,C,C1,11,16,16,"A tobacco company claims that there is no relationship between smoking and lung ailments. To investigate the claim, a random sample of 300 males in the age group of 40 and 50 are given a medical ...",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L888; PDF p16
asgnbundle-5-C02,assignment-2025-26-bundle-5,5,C,C2,12,16,16,Two random samples were drawn from two normal populations and their values are as,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L897; PDF p16
asgnbundle-5-C03,assignment-2025-26-bundle-5,5,C,C3,13,16,16,"follows: A 66 67 75 76 82 84 88 90 92 B 64 66 74 78 82 85 87 92 93 95 97 Test whether the two populations have the same variance at 10% level of significance. (Tabulated value: 3.07) 1,000 families ...",text_layout_recovered,,not_assessed,,asgn-2025-26-bundle.txt:L905; PDF p16
asgnbundle-5-C04,assignment-2025-26-bundle-5,5,C,C4,14,16,16,"Three different techniques, namely medication, exercises and special diet are randomly assigned to (individuals diagnosed with high blood pressure) lower blood pressure. After four weeks the ...",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L914; PDF p16
asgnbundle-5-D01,assignment-2025-26-bundle-5,5,D,D1,15,16,16,"In a test given to two groups of students drawn from two normal populations, the marks were as follows: Sample A: 18 20 36 50 49 36 34 49 41 Sample B: 29 28 26 35 30 44 46 Examine 5% level whether ...",text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L926; PDF p16
asgnbundle-5-D02,assignment-2025-26-bundle-5,5,D,D2,16,16,16,Consider the following measurements of the heat producing capacity of the coal produced by two mines (in millions of calories per ton): Mine 1 8260 8130 8350 8070 8340 Mine 2 7950 7890 7900 8140 7920 ...,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L936; PDF p16
asgnbundle-5-D03,assignment-2025-26-bundle-5,5,D,D3,17,17,17,Three composition instructors recorded the number of spelling errors which their students made on a research paper. At 1% level of significance test whether there is significant difference in the ...,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L947; PDF p17
asgnbundle-5-D04,assignment-2025-26-bundle-5,5,D,D4,18,17,17,The sales data of an item in six shops before and after a special promotional campaign are as under: Shops A B C D E F Before Campaign 53 28 31 48 50 42 After Campaign 58 29 30 55 56 45 Can the ...,text_extracted,,not_assessed,,asgn-2025-26-bundle.txt:L955; PDF p17
